INDPB,MUTPB,CXPB,AEP
0.05,1.0,0.55,382896.6909591296
0.05,1.0,0.6,407496.0283449836
0.05,1.0,0.65,401389.2841677583
0.05,1.0,0.7,409393.325310071
0.05,1.0,0.75,404116.6315828735
0.05,1.0,0.8,406238.6032242577
0.05,1.0,0.85,410734.2899069061
0.05,1.0,0.9,407088.53683923755
0.05,1.0,0.95,409106.7459848905
0.05,1.0,1.0,410565.05025046645
0.1,0.05,0.05,386531.67500546254
0.1,0.05,0.1,381072.5350908043
0.1,0.05,0.15,395986.74804728356
0.1,0.05,0.2,392126.39820708195
0.1,0.05,0.25,393969.9593361027
0.1,0.05,0.3,389960.50727669435
0.1,0.05,0.35,399760.35305840406
0.1,0.05,0.4,403541.99691421486
0.1,0.05,0.45,404147.1978892351
0.1,0.05,0.5,406608.13826792047
0.1,0.05,0.55,399758.6359101616
0.1,0.05,0.6,409354.9638425148
0.1,0.05,0.65,408700.4713484256
0.1,0.05,0.7,405229.97944976424
0.1,0.05,0.75,408748.6510179024
0.1,0.05,0.8,408174.9926029758
0.1,0.05,0.85,406576.5465540561
0.1,0.05,0.9,405140.0011528023
0.1,0.05,0.95,409837.9930066623
0.1,0.05,1.0,405336.2271051502
0.1,0.1,0.05,383922.2879139999
0.1,0.1,0.1,384210.8717842725
0.1,0.1,0.15,380085.02494658047
0.1,0.1,0.2,392920.2980992623
0.1,0.1,0.25,375635.16232357046
0.1,0.1,0.3,403671.2362569396
0.1,0.1,0.35,392437.3872178901
0.1,0.1,0.4,398250.4889945162
0.1,0.1,0.45,381940.92019227706
0.1,0.1,0.5,399324.9602088572
0.1,0.1,0.55,396449.3014065909
0.1,0.1,0.6,405157.5930893154
0.1,0.1,0.65,409760.9034790502
0.1,0.1,0.7,407434.64612979733
0.1,0.1,0.75,406878.0343246616
0.1,0.1,0.8,409218.56880805385
0.1,0.1,0.85,410250.4180028987
0.1,0.1,0.9,407259.80164032045
0.1,0.1,0.95,409785.1475224988
0.1,0.1,1.0,411021.4801397538
0.1,0.15,0.05,384550.1717144592
0.1,0.15,0.1,392888.0552267707
0.1,0.15,0.15,396600.56188737624
0.1,0.15,0.2,399696.30549361085
0.1,0.15,0.25,391079.9735724522
0.1,0.15,0.3,406435.07813305606
0.1,0.15,0.35,402236.64094318415
0.1,0.15,0.4,395547.4863999766
0.1,0.15,0.45,405574.4230901139
0.1,0.15,0.5,384385.9707997968
0.1,0.15,0.55,402988.9191727282
0.1,0.15,0.6,402399.95478635945
0.1,0.15,0.65,402327.1841926046
0.1,0.15,0.7,406494.97126904613
0.1,0.15,0.75,411911.93035844865
0.1,0.15,0.8,408477.9739582656
0.1,0.15,0.85,408581.95388796227
0.1,0.15,0.9,408671.40750721045
0.1,0.15,0.95,409249.23675948463
0.1,0.15,1.0,407490.09496697085
0.1,0.2,0.05,382406.49393960554
0.1,0.2,0.1,382941.26290406927
0.1,0.2,0.15,383206.233497043
0.1,0.2,0.2,385726.1047059586
0.1,0.2,0.25,391545.4711138301
0.1,0.2,0.3,401756.0440653724
0.1,0.2,0.35,403098.081828507
0.1,0.2,0.4,400234.0630270303
0.1,0.2,0.45,402759.9242458923
0.1,0.2,0.5,408579.6298008779
0.1,0.2,0.55,386091.4105648553
0.1,0.2,0.6,412897.32539697306
0.1,0.2,0.65,407462.1418527884
0.1,0.2,0.7,407067.974417567
0.1,0.2,0.75,406730.2645290127
0.1,0.2,0.8,409123.2078268261
0.1,0.2,0.85,407409.0538138804
0.1,0.2,0.9,407173.96413101844
0.1,0.2,0.95,407411.54352588014
0.1,0.2,1.0,408828.6705402845
0.1,0.25,0.05,389910.24028449366
0.1,0.25,0.1,400033.15865196445
0.1,0.25,0.15,384673.2697414786
0.1,0.25,0.2,383484.30095433525
0.1,0.25,0.25,399789.2662351978
0.1,0.25,0.3,400792.49693608837
0.1,0.25,0.35,403477.1159907593
0.1,0.25,0.4,379637.9330986026
0.1,0.25,0.45,384118.1865286504
0.1,0.25,0.5,402460.9615403071
0.1,0.25,0.55,409852.9422229881
0.1,0.25,0.6,398738.8721235109
0.1,0.25,0.65,407349.98936139717
0.1,0.25,0.7,408345.2391588531
0.1,0.25,0.75,409373.2215382261
0.1,0.25,0.8,404829.33668862324
0.1,0.25,0.85,410190.234605226
0.1,0.25,0.9,405732.43340010947
0.1,0.25,0.95,409841.17649125506
0.1,0.25,1.0,410522.95387178205
0.1,0.3,0.05,380929.00349671545
0.1,0.3,0.1,389911.89237604087
0.1,0.3,0.15,398681.69398795156
0.1,0.3,0.2,380230.41485333705
0.1,0.3,0.25,402648.880465745
0.1,0.3,0.3,382602.7777444876
0.1,0.3,0.35,404751.30632313254
0.1,0.3,0.4,386752.9801331826
0.1,0.3,0.45,402634.73632518767
0.1,0.3,0.5,397706.72962060774
0.1,0.3,0.55,382060.6839153349
0.1,0.3,0.6,407504.0089855213
0.1,0.3,0.65,410334.7195795132
0.1,0.3,0.7,405704.90248070366
0.1,0.3,0.75,406279.0832760442
0.1,0.3,0.8,411020.1793566218
0.1,0.3,0.85,409732.7495646179
0.1,0.3,0.9,403522.6258494139
0.1,0.3,0.95,409045.7283650126
0.1,0.3,1.0,415239.51998750574
0.1,0.35,0.05,384313.8326846681
0.1,0.35,0.1,381785.2408563585
0.1,0.35,0.15,380967.38650781324
0.1,0.35,0.2,398525.1025632499
0.1,0.35,0.25,381289.5075176869
0.1,0.35,0.3,379766.14006703196
0.1,0.35,0.35,386192.01928648097
0.1,0.35,0.4,403484.9827642118
0.1,0.35,0.45,382218.5902459121
0.1,0.35,0.5,383807.1142967241
0.1,0.35,0.55,387009.0729322877
0.1,0.35,0.6,401931.15972808667
0.1,0.35,0.65,397723.2954995466
0.1,0.35,0.7,407938.94711154
0.1,0.35,0.75,405369.4700616146
0.1,0.35,0.8,406854.75347322365
0.1,0.35,0.85,411490.35868831933
0.1,0.35,0.9,411354.2991931618
0.1,0.35,0.95,407226.9348941789
0.1,0.35,1.0,406754.3312513137
0.1,0.4,0.05,389562.31378060783
0.1,0.4,0.1,388945.8467517875
0.1,0.4,0.15,383223.8285591667
0.1,0.4,0.2,395037.66529415076
0.1,0.4,0.25,397183.9139711384
0.1,0.4,0.3,392966.9490517204
0.1,0.4,0.35,403892.964680872
0.1,0.4,0.4,407569.8535696323
0.1,0.4,0.45,404879.04556885635
0.1,0.4,0.5,402691.00151166436
0.1,0.4,0.55,404541.8218518956
0.1,0.4,0.6,384651.8909381082
0.1,0.4,0.65,407962.3968688637
0.1,0.4,0.7,405893.15394479
0.1,0.4,0.75,405968.6131399373
0.1,0.4,0.8,404449.17977150984
0.1,0.4,0.85,407957.7386817186
0.1,0.4,0.9,410691.3518652957
0.1,0.4,0.95,408493.1569547005
